,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
148,25,2,9,4,7,4,4,0,0,0,40,38,0
149,44,3,14,0,3,4,1,0,0,0,40,38,0
150,28,2,9,4,3,1,1,0,0,0,40,8,0
151,45,4,14,2,11,0,4,1,0,0,40,38,1
152,36,2,10,0,7,4,4,0,0,0,40,25,0
153,39,0,12,4,3,1,4,1,0,0,42,38,0
154,46,5,14,6,10,4,4,1,0,0,40,38,0
155,18,2,7,4,5,3,4,1,0,0,16,38,0
156,66,1,11,6,9,1,4,0,0,0,20,38,0
157,27,2,9,4,7,1,4,1,0,1980,40,38,0
158,28,5,9,2,10,0,4,1,0,0,40,38,0
159,51,2,10,2,11,0,4,1,0,1977,40,38,1
160,27,2,13,4,2,1,4,1,0,0,50,38,0
161,28,5,13,2,9,0,4,1,0,0,40,38,1
162,27,2,9,3,11,4,4,0,0,0,25,38,0
163,21,2,9,4,2,3,2,1,0,0,40,38,0
164,34,2,9,4,5,1,2,1,0,0,40,38,0
165,18,2,9,4,7,3,4,1,0,0,12,38,0
166,33,2,13,2,9,0,4,1,0,0,65,38,0
167,44,1,10,2,3,0,2,1,0,0,38,38,1
168,43,2,10,0,0,1,4,0,0,0,40,38,0
169,30,2,10,4,2,1,2,1,0,0,45,38,0
170,40,2,4,2,6,0,4,1,0,0,40,25,1
171,37,0,10,2,0,0,4,1,0,0,42,38,1
172,34,2,9,2,0,0,2,1,0,0,40,38,0
173,41,4,13,0,3,1,4,0,0,0,40,38,0
174,31,2,14,2,9,5,4,0,0,0,50,38,0
175,58,5,16,2,9,0,4,1,0,0,1,38,1
176,38,2,10,0,6,1,2,0,0,0,28,38,0
177,24,2,10,2,6,0,4,1,0,0,40,38,0
178,41,1,13,2,2,0,2,1,0,0,40,38,0
179,47,2,10,2,12,0,4,1,0,0,45,38,0
180,41,0,13,2,12,0,4,1,0,0,24,38,0
181,23,2,3,2,13,2,4,1,0,0,40,25,0
182,36,2,10,0,2,1,4,1,0,0,40,38,0
183,40,0,14,4,3,1,4,0,14084,0,55,38,1
184,35,2,14,2,9,2,4,1,7298,0,40,38,1
185,24,4,9,4,11,1,4,1,0,0,40,38,0
186,26,2,14,4,9,1,4,0,0,1876,40,38,0
187,51,2,13,2,3,0,4,1,0,0,50,38,1
188,42,1,10,4,9,1,4,0,0,1340,40,38,0
189,37,5,9,0,0,4,4,0,0,0,35,38,0
190,18,2,7,4,11,3,4,0,0,0,40,38,0
191,36,2,13,2,7,0,2,1,7298,0,36,38,1
192,35,2,9,0,2,1,4,1,0,0,60,38,0
193,58,3,9,2,11,5,4,0,15024,0,35,38,1
194,17,2,7,4,11,3,4,0,0,0,12,38,0
195,44,1,9,2,13,0,2,1,0,0,40,38,0
196,37,2,9,2,2,0,4,1,0,0,40,38,1
197,35,2,10,4,11,1,0,0,0,0,40,38,0
198,60,2,9,2,2,0,1,1,0,0,40,38,0
199,54,3,4,2,6,0,4,1,0,0,40,38,1
200,37,2,13,4,3,1,2,1,0,0,60,38,1
201,50,2,12,0,11,1,4,0,0,0,40,38,0
202,38,2,13,2,11,0,4,1,0,0,50,30,0
203,45,2,13,2,9,0,4,1,0,0,55,38,0
204,25,2,6,4,2,1,4,1,0,0,40,38,0
205,31,2,10,2,5,0,4,1,0,0,40,38,0
206,90,2,9,4,7,1,2,1,0,2206,40,38,0
207,54,2,9,2,0,0,2,1,0,0,20,38,0
208,53,1,1,4,6,1,4,0,0,0,35,38,0
209,18,2,9,4,11,3,4,0,0,0,40,38,0
210,66,4,9,2,4,0,4,1,1409,0,50,38,0
211,75,2,11,6,0,1,4,0,0,0,20,3,0
212,65,2,9,0,0,1,4,0,0,0,40,38,0
213,35,2,7,5,13,1,2,1,3674,0,40,38,0
214,41,2,9,0,11,4,2,0,0,0,38,38,0
215,25,2,10,4,0,1,4,1,0,0,42,38,0
216,33,2,10,0,2,2,3,0,0,0,40,38,0
217,28,2,15,4,9,1,4,1,0,0,55,38,1
218,59,5,9,2,7,0,4,1,0,0,40,38,0
219,40,5,10,4,0,1,4,0,0,0,38,38,0
220,41,2,13,2,3,0,4,1,0,0,50,19,1
221,38,1,14,2,3,0,4,1,0,0,70,38,1
222,23,2,9,4,13,3,4,1,0,0,40,38,0
223,40,2,13,2,9,0,4,1,0,0,40,38,1
224,41,4,9,2,7,5,4,0,0,0,20,38,0
225,24,5,12,2,10,0,4,1,0,0,50,38,0
226,38,2,10,0,2,1,4,1,0,1741,40,38,0
227,58,2,9,2,0,0,4,1,0,0,45,38,1
228,32,2,9,4,7,1,4,0,0,0,34,38,0
229,40,2,12,2,12,0,4,1,0,1977,60,38,1
230,41,2,15,2,9,5,4,0,0,0,40,38,1
231,42,2,13,2,0,5,2,0,0,0,40,38,0
232,59,1,6,6,7,4,2,0,0,0,30,38,0
233,19,1,10,4,0,3,4,1,0,0,40,38,0
234,58,2,10,4,13,1,4,1,0,0,20,38,0
235,42,4,9,2,4,0,1,1,0,0,40,0,1
236,20,2,9,4,7,3,4,0,0,0,40,38,0
237,32,2,9,5,7,1,4,0,0,0,30,38,0
238,45,2,11,6,3,1,4,0,0,0,45,38,0
239,50,2,4,0,2,1,4,1,0,0,40,38,0
240,36,2,13,0,9,3,4,0,0,0,40,38,0
241,45,2,9,2,11,0,4,1,0,0,60,38,0
242,17,2,7,4,7,3,4,1,0,0,12,38,0
243,59,2,10,2,11,0,4,1,4064,0,40,38,0
244,26,2,7,2,2,0,4,1,0,0,40,38,0
245,37,3,10,2,3,0,1,1,0,0,75,36,1
246,64,2,9,2,3,0,4,1,0,0,40,38,1
247,33,2,13,4,9,1,4,0,0,0,45,38,0
248,33,2,9,2,2,5,4,0,0,0,40,38,1
249,61,2,9,2,3,0,4,1,0,0,40,38,1
250,17,2,5,4,7,3,4,1,1055,0,24,38,0
251,50,4,14,2,4,0,4,1,2407,0,98,38,0
252,27,1,14,4,9,3,4,1,0,0,35,38,0
253,30,2,9,0,9,3,4,0,0,0,40,38,0
254,43,2,9,2,5,0,2,1,0,0,40,38,0
255,44,2,10,2,2,0,4,1,7298,0,40,38,1
256,35,2,10,4,3,1,4,0,0,0,40,38,0
257,25,2,10,4,12,3,4,0,0,0,40,38,0
258,24,2,10,2,6,5,4,0,7298,0,48,38,1
259,22,2,13,4,9,1,4,0,0,0,15,10,0
260,42,1,10,2,2,0,4,1,5178,0,40,38,1
261,34,2,12,0,11,4,2,0,0,0,45,38,0
262,60,2,13,0,9,1,4,0,0,0,42,38,0
263,21,2,9,4,5,3,4,1,0,0,40,38,0
264,57,0,14,2,11,0,4,1,15024,0,40,38,1
265,41,2,15,2,9,0,4,1,0,0,60,38,1
266,50,2,10,0,7,1,4,1,0,0,45,38,0
267,25,2,13,4,3,1,4,0,0,0,40,38,0
268,50,2,4,2,2,0,4,1,0,0,40,6,0
269,36,2,13,2,9,0,4,1,0,0,45,38,0
270,31,2,9,0,9,1,4,0,0,0,40,38,0
271,29,1,13,4,10,1,4,1,0,0,56,38,0
272,21,2,10,4,11,3,4,1,0,0,45,38,0
273,27,2,13,4,12,4,2,0,0,0,40,38,0
274,65,2,9,2,13,0,4,1,0,0,16,38,0
275,37,3,13,0,11,1,4,0,0,0,60,38,0
276,24,2,9,4,2,3,4,1,0,0,40,38,0
277,38,2,9,0,11,1,4,1,0,0,80,38,0
278,48,2,13,2,0,0,4,1,7688,0,40,38,1
279,21,2,10,4,7,1,1,0,0,0,25,38,0
280,31,2,9,2,13,0,4,1,0,0,45,38,1
281,55,2,9,2,11,0,4,1,4386,0,40,38,1
282,24,2,10,2,0,5,1,0,0,0,40,24,0
283,43,2,9,0,0,1,4,0,0,0,40,38,0
284,26,2,12,4,12,1,4,1,0,0,45,38,0
285,46,2,12,4,9,1,4,0,0,0,33,38,0
286,35,2,12,2,0,0,4,1,0,0,40,38,1
287,41,3,10,2,4,0,4,1,0,0,54,38,1
288,26,2,13,4,11,1,4,1,0,0,40,38,0
289,34,2,14,2,3,0,1,1,7298,0,35,35,1
290,36,4,13,0,9,1,2,0,0,0,40,38,1
291,22,2,10,4,11,3,4,1,0,0,15,38,0
292,24,2,10,4,6,1,4,1,0,0,40,38,0
293,77,4,10,2,11,0,4,1,0,0,40,38,0
294,22,2,3,2,6,2,4,0,0,0,40,25,0
295,29,2,10,4,12,1,4,0,0,0,40,38,0
296,62,2,9,6,7,1,4,0,0,0,24,38,0
297,39,4,9,2,3,0,4,1,0,0,40,38,0
298,43,2,10,2,2,0,4,1,0,1485,50,38,0
299,35,2,9,0,13,1,4,1,0,0,45,38,0
300,29,2,7,4,3,1,4,0,0,0,40,38,0
301,76,4,14,2,2,0,4,1,0,0,10,38,0
302,63,4,9,2,4,0,4,1,0,0,45,38,0
303,43,2,10,2,9,5,4,0,0,1887,50,38,1
304,58,4,9,2,5,0,4,1,0,0,40,38,0
305,66,2,9,4,13,1,4,1,2050,0,55,38,0
306,41,2,10,4,2,1,2,1,0,0,45,38,0
307,26,2,13,4,0,1,4,1,0,0,40,38,0
308,47,2,11,4,7,1,4,1,0,0,40,38,0
309,55,1,6,2,0,0,4,1,0,0,40,38,0
310,53,2,9,2,13,0,4,1,0,0,40,38,0
311,17,2,3,4,7,2,4,1,0,0,48,25,0
312,30,2,9,4,2,2,4,1,0,0,40,38,0
313,49,2,14,4,9,1,4,1,0,0,60,38,0
314,19,2,9,4,11,4,2,1,0,0,30,13,0
315,45,2,9,2,7,0,2,1,0,0,40,38,0
316,26,2,12,4,11,1,4,1,0,0,40,38,0
317,38,2,11,2,2,0,4,1,7298,0,40,38,1
318,36,5,9,2,10,0,4,1,7298,0,40,38,1
319,33,2,9,4,4,1,4,1,0,0,20,38,0
320,22,5,10,4,10,3,2,0,0,0,40,38,0
321,43,4,13,4,11,1,4,1,0,0,42,38,0
322,56,2,12,3,7,1,4,1,0,0,25,19,0
323,31,2,13,4,9,3,4,1,0,0,25,38,0
324,33,2,13,2,3,0,4,1,0,0,40,38,1
325,26,2,9,2,7,0,4,1,0,0,40,38,0
326,33,2,13,2,3,0,4,1,0,0,40,38,1
327,46,1,7,2,13,0,4,1,0,0,30,38,0
328,38,0,9,2,0,0,4,1,0,0,40,38,1
329,65,2,7,6,7,4,3,1,0,0,40,38,0
330,40,2,11,2,12,0,4,1,0,0,40,38,1
331,42,2,9,2,0,5,4,0,0,0,35,38,0
332,26,4,5,2,2,0,4,1,0,0,40,31,0
333,36,2,6,2,7,5,4,0,0,0,24,38,0
334,62,2,14,2,9,0,4,1,0,0,40,38,1
335,43,2,13,2,13,0,4,1,0,0,45,38,0
336,43,2,13,0,3,1,4,1,0,1564,45,38,1
337,22,2,9,3,11,1,4,1,0,0,55,38,0
338,28,2,9,2,2,0,4,1,0,0,40,38,0
339,56,4,10,2,11,0,4,1,0,0,45,38,0
340,22,2,12,4,11,1,4,0,0,0,15,38,0
341,57,2,13,0,3,1,4,0,0,0,45,38,1
342,39,2,9,0,11,4,4,0,0,0,40,38,0
343,26,0,10,4,0,4,4,0,0,0,15,38,0
344,17,2,7,4,7,3,4,1,0,0,10,38,0
345,40,5,11,2,6,0,4,1,0,0,38,38,1
346,45,2,9,2,6,0,2,1,0,0,40,38,0
347,44,2,9,4,2,1,2,1,0,0,40,38,0
348,20,1,10,4,0,3,4,0,0,0,10,38,0
349,33,2,9,2,2,5,4,0,0,0,40,38,0
350,23,2,10,4,11,1,4,1,0,0,40,38,0
351,46,4,14,0,3,1,4,1,0,0,30,38,0
352,38,2,9,2,11,0,4,1,0,0,50,38,0
353,54,2,9,0,13,1,4,1,0,0,40,38,0
354,46,2,3,0,2,1,4,0,0,2339,45,38,0
355,25,2,10,2,2,0,4,1,0,0,40,38,0
356,46,2,10,0,11,1,4,0,0,0,40,38,0
357,36,1,10,2,13,5,4,0,0,0,40,38,0
358,23,2,9,4,7,1,4,0,0,0,25,38,0
359,29,2,9,5,6,1,4,1,0,0,40,38,0
360,44,2,10,2,0,5,4,0,0,2415,6,38,1
361,19,2,10,4,0,3,4,0,0,0,16,38,0
362,19,2,9,4,7,2,4,0,0,0,40,38,0
363,35,2,9,2,7,5,4,0,0,0,40,38,1
364,27,2,13,4,2,1,4,1,0,0,50,38,0
365,46,4,12,5,2,1,4,1,0,0,40,38,0
366,34,2,9,4,7,1,4,0,0,0,35,38,0
367,44,2,10,2,12,0,4,1,0,0,40,38,0
368,45,2,10,0,5,4,4,0,0,0,40,38,0
369,25,2,13,2,3,0,4,1,0,0,55,38,1
370,52,3,13,2,3,0,4,1,0,0,50,38,1
371,20,2,10,4,5,3,4,1,0,0,40,38,0
372,28,2,10,4,7,1,4,0,0,0,40,38,0
373,50,5,13,2,10,0,4,1,0,0,40,38,1
374,34,2,11,0,12,1,4,0,0,0,64,38,0
375,28,2,4,2,5,0,3,1,0,2179,40,32,0
376,41,2,14,2,3,0,4,1,0,1977,65,38,1
377,28,2,9,2,0,0,4,1,0,0,40,38,0
378,46,4,9,2,2,0,4,1,0,0,25,38,0
379,32,2,10,2,3,0,4,1,0,0,50,38,0
380,41,1,10,0,7,1,2,0,0,0,24,38,0
381,24,2,9,4,5,4,2,0,0,0,40,38,0
382,33,2,10,0,3,4,4,0,0,0,40,38,0
383,46,2,16,2,3,0,4,1,15024,0,60,38,1
384,31,5,10,2,6,0,4,1,0,0,40,38,0
385,35,2,8,0,2,1,4,1,0,0,50,38,1
386,52,2,2,2,6,0,4,1,0,0,40,25,0
387,30,2,7,4,7,3,4,0,0,0,19,38,0
388,34,1,7,5,6,1,2,1,0,0,40,38,0
389,34,5,9,0,13,4,4,0,0,0,40,38,0
390,20,2,10,2,11,0,4,1,0,0,30,38,0
391,17,2,7,4,5,3,4,1,2176,0,18,38,0
392,32,5,13,2,3,5,4,0,0,0,40,38,1
393,29,2,9,0,4,1,4,1,0,0,40,38,0
394,33,2,6,4,2,4,4,0,0,0,35,38,0
395,25,2,9,2,13,0,4,1,0,0,60,38,0
396,36,0,14,4,9,1,4,1,0,1408,40,38,0
397,23,2,9,4,5,1,4,1,0,0,72,5,0
398,63,3,9,2,3,0,4,1,0,0,40,38,1
399,47,1,14,2,9,0,4,1,0,0,40,38,0
400,40,4,13,3,9,1,4,0,2174,0,40,38,0
401,30,2,12,2,7,5,4,0,0,0,25,38,1
402,27,2,10,4,2,3,1,1,0,1980,40,29,0
403,33,2,14,2,9,0,4,1,0,0,50,38,1
404,34,1,9,4,4,1,2,1,594,0,60,38,0
405,34,1,10,4,10,1,4,0,0,0,40,38,0
406,23,2,10,2,0,0,4,1,0,0,40,38,0
407,42,1,10,2,0,5,4,0,0,0,40,38,0
408,29,2,13,4,9,1,4,1,0,0,40,38,0
409,45,2,9,0,0,1,4,0,0,0,28,38,0
410,24,0,9,4,1,3,4,1,0,0,40,38,0
411,44,2,10,2,9,0,4,1,0,0,40,38,1
412,27,2,5,4,2,2,4,1,0,0,40,25,0
413,20,2,10,4,11,1,4,1,0,0,35,38,0
414,44,2,9,6,3,4,2,0,0,0,40,38,0
415,51,2,9,2,2,0,0,1,0,0,40,38,0
416,20,2,9,2,6,0,4,1,0,0,40,38,0
417,19,2,9,4,6,3,2,0,0,0,40,38,0
418,45,3,10,2,2,0,4,1,0,0,55,38,1
419,60,2,9,2,2,0,4,1,0,0,40,38,1
420,44,4,9,2,11,5,4,0,0,0,40,38,1
421,40,2,11,2,6,0,1,1,0,0,40,38,1
422,30,2,9,2,3,5,4,0,0,0,40,38,0
423,38,2,10,2,13,0,2,1,0,0,50,38,0
424,23,2,9,2,13,0,4,1,0,0,60,38,0
425,44,2,12,4,4,3,4,1,0,0,40,38,0
426,54,1,9,2,13,0,2,1,0,0,40,38,0
427,32,2,13,2,9,0,4,1,0,0,50,38,0
428,50,2,2,3,2,4,4,1,0,0,40,38,0
429,24,2,13,4,12,1,4,0,0,0,20,38,0
430,37,2,9,2,0,5,4,0,0,0,60,38,0
431,52,2,9,0,13,4,4,1,0,0,40,38,0
432,38,2,10,2,13,0,4,1,0,0,40,38,0
433,49,2,14,2,3,0,4,1,0,1977,45,38,1
434,30,2,13,2,12,5,4,0,0,0,16,38,1
435,60,2,10,4,9,4,4,1,0,0,40,38,1
436,35,2,9,4,2,1,4,1,0,0,40,38,0
437,30,2,9,4,13,1,4,1,0,0,60,38,0
438,67,2,11,0,7,1,4,0,0,0,24,38,0
439,46,2,13,4,2,1,4,0,0,0,40,38,0
440,17,2,5,4,7,1,4,1,0,0,6,38,0
441,22,2,10,4,5,3,4,1,0,0,30,38,0
442,27,2,6,4,7,1,4,1,0,0,40,38,0
443,23,2,9,4,7,4,4,0,0,0,35,38,0
444,33,2,12,2,2,0,4,1,0,0,45,31,0
445,43,4,10,2,2,0,4,1,0,0,20,38,0
446,28,5,13,4,9,1,4,1,0,0,20,38,0
447,41,2,9,3,2,4,4,0,0,0,40,38,0
448,25,2,10,3,0,3,2,0,0,0,20,38,0
449,59,1,9,2,13,0,4,1,0,0,45,38,0
450,45,1,13,0,9,4,4,0,0,0,40,38,0
451,38,2,13,2,11,0,4,1,15024,0,60,38,1
452,40,2,9,4,7,1,4,0,0,0,35,38,0
453,46,0,9,0,0,1,4,1,0,0,40,38,0
454,35,2,12,4,3,1,4,0,0,0,60,38,0
455,34,2,9,0,9,4,4,0,0,0,25,38,0
456,33,2,13,4,2,3,4,1,0,0,20,38,0
457,41,2,9,0,0,4,4,0,0,0,36,38,0
458,20,2,10,4,6,3,4,1,0,0,40,38,0
459,23,2,3,4,7,3,4,1,0,0,40,7,0
460,26,2,10,4,9,1,4,0,0,0,35,38,0
461,23,1,9,4,4,1,4,1,0,0,40,30,0
462,62,1,9,2,13,0,4,1,0,0,40,38,0
463,52,2,10,2,0,0,4,1,0,0,40,38,0
464,58,2,10,0,7,4,4,0,0,0,42,9,0
465,25,2,13,4,11,1,4,0,0,0,40,38,0
466,24,2,13,4,3,1,2,1,0,0,40,38,0
467,19,2,10,4,10,3,4,1,0,0,8,38,0
468,43,2,10,2,3,0,4,1,0,0,40,38,0
469,47,1,9,5,0,4,2,0,0,0,40,38,0
470,39,2,9,0,7,4,4,0,0,0,40,38,0
471,49,2,11,3,5,4,4,1,0,1380,42,38,0
472,32,2,11,4,2,1,4,1,0,0,45,38,0
473,34,2,10,2,9,0,4,1,0,0,50,38,1
474,28,2,9,0,2,1,4,1,0,0,45,38,0
475,25,2,10,4,0,1,0,0,0,0,20,38,0
476,34,2,13,2,9,0,4,1,0,0,50,38,1
477,38,3,13,2,3,0,4,1,15024,0,80,38,1
478,50,2,9,2,3,0,4,1,7688,0,50,38,1
479,24,1,10,0,5,1,2,1,0,0,50,38,0
480,37,1,10,2,12,0,4,1,0,0,45,38,1
481,44,2,10,0,6,4,4,1,0,0,58,38,1
482,28,2,10,2,11,5,4,0,0,0,40,38,0
483,42,2,13,2,3,0,4,1,0,0,40,38,1
484,74,2,10,0,0,1,4,0,0,0,9,38,0
485,38,4,9,2,2,0,4,1,0,0,50,38,0
486,44,4,14,2,9,0,4,1,0,0,40,38,0
487,44,2,7,0,6,4,3,0,0,0,46,32,0
488,26,2,9,4,6,1,4,1,0,0,40,38,0
489,36,2,9,2,7,0,2,1,0,0,40,38,0
490,41,2,12,2,3,5,4,0,0,0,50,38,1
491,67,2,15,2,9,0,4,1,20051,0,48,38,1
492,39,1,8,2,12,0,4,1,0,0,50,38,0
